STT,Từ khóa chính,Tỉnh thành,Bài viết,BTV,NV deadline,Bài đăng,PIC xin và gắn link ảnh,PIC Đăng lại,PC QC,Trạng thái
92,map of old quarter hanoi,Hà Nội,https://docs.google.com/document/d/1tfRVMg9o45dDfuDtAuAqtoC73JIfows--tHRg1d4mB0/edit?tab=t.0,Phương,Châu Anh,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/map-of-old-quarter-hanoi,,,,Chưa triển khai
93,hanoi night market old quarter,Hà Nội,https://docs.google.com/document/d/1QHBDFAiCXPzhMnZFPUewGUxIsr1mZVW0Ci_7p7YAH9c/edit?tab=t.0,Phương,Châu Anh,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hanoi-night-market-old-quarter,,,,Chưa triển khai
94,things to do in old quarter hanoi,Hà Nội,https://docs.google.com/document/d/1rjHktMPd2B4eXNpcnF-5XVWxvad0KtNF2eOtCcAke5s/edit?usp=sharing,Lô,P.Anh 24/2,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/things-to-do-in-old-quarter-hanoi,,,,Chưa triển khai
95,one pillar pagoda,Hà Nội,https://docs.google.com/document/d/1BwRKZ2ZJgzmakZKXaQZIDnOQ3l1KhB0xU_voID1jquc/edit?usp=sharing,Hạnh,Hạnh 5/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/one-pillar-pagoda,,,,Chưa triển khai
96,hanoi opera house,Hà Nội,https://docs.google.com/document/d/1S06aD1ihghpubrcQSsEuoLX7VplN5cqAML7xkB5xm9s/edit,Lô,P.Anh,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hanoi-opera-house,,,,Chưa triển khai
97,pho hanoi,Hà Nội,https://docs.google.com/document/d/1Dyz6pO7uEvwr8GmjjYxqJ4NcBOwPlTNY01Y8JvVj9Co/edit?tab=t.0,Phương,Châu Anh,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/pho-hanoi,,,,Chưa triển khai
98,pho thin hanoi vietnamese restaurant,Hà Nội,https://docs.google.com/document/d/1s-I7eGW7YVWbzzen8HDyVK9SWZrqV3Utnq3tY2whnA8/edit?usp=sharing,Lô,N.Anh 27/2,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/pho-thin-hanoi-vietnamese-restaurant,,,,Chưa triển khai
99,hanoi st joseph cathedral,Hà Nội,https://docs.google.com/document/d/1ik7XKf69xce_0kZBszQz089pwHae6OfGUS3Ng1CrkN8/edit?usp=sharing,Lô,P.Anh 13/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hanoi-st-joseph-cathedral,,,,Chưa triển khai
100,hanoi train street,Hà Nội,https://docs.google.com/document/d/1FhidI8fEays0kpD7QtIktXUmrGVKZG01Iq88iTayrjA/edit?tab=t.0,Hạnh,Hạnh 3/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hanoi-train-street,,,,Chưa triển khai
101,tran quoc pagoda,Hà Nội,https://docs.google.com/document/d/1trxqkY7rL9DXXGbkpd2REU36bZoHPBgvv5hgP2F4rWY/edit?usp=sharing,Lô,P.Anh 13/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/tran-quoc-pagoda,,,,Chưa triển khai
102,truc bach lake hanoi,Hà Nội,https://docs.google.com/document/d/1GD0aVl1hl8fLKIHbKPN__S6h6nOQMxkYJQy3HhxlvQk/edit?usp=sharing,Hạnh,Hạnh 5/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/truc-bach-lake-hanoi,,,,Chưa triển khai
103,van phuc silk village,Hà Nội,https://docs.google.com/document/d/1hFeqHX0IPjNnUB3-BtyhbyjL0PKivEFk-yhXUtNHR8Y/edit?usp=sharing,Hạnh,Hạnh 5/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/van-phuc-silk-village,,,,Chưa triển khai
104,water puppet show hanoi,Hà Nội,https://docs.google.com/document/d/1t4gl71ErYZlhvHprR1ejATZE2rckPn-nGxvJyp1n2Eg/edit?tab=t.0,Phương,Châu Anh,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/water-puppet-show-hanoi,,,,Chưa triển khai
105,hanoi west lake,Hà Nội,https://docs.google.com/document/d/1pWy9jvuHf-WiMWBPVuQoNaHTMKqjELnvdbHD58DpeCM/edit?tab=t.0,Phương,C Thy - Ưu tiên,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hanoi-west-lake,,,,Chưa triển khai
106,what to do in hanoi,Hà Nội,https://docs.google.com/document/d/1txCWHqipooYMcupWSBKGhhkAtsRJQk4wbqZyOX-J3Tw/edit?tab=t.0,Phương,Châu Anh,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/what-to-do-in-hanoi,,,,Chưa triển khai
107,what to visit in hanoi,Hà Nội,https://docs.google.com/document/d/1ohnWtLY-QZ7smQOfqAeWYulPlULIgHe83vMS0Y_L3SA/edit?usp=sharing,Lô,Lô,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/what-to-visit-in-hanoi,,,,Chưa triển khai
108,best food in hanoi old quarter,Hà Nội,https://docs.google.com/document/d/1SZGZ5h7mzpZjEua2XSDvEtUOoftrioTAMfDLI8O9QaQ/edit,Lô,P.Anh 21/2,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/best-food-in-hanoi-old-quarter,,,,Chưa triển khai
109,nho que river,Hà Giang,https://docs.google.com/document/d/18PJ35unCY9xrzeW5XCykZSkJB-FxN9bxJF_NEjDeuxc/edit?usp=sharing,Hạnh,Hân 12/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/nho-que-river,,,,Chưa triển khai
110,ma pi leng pass,Hà Giang,https://docs.google.com/document/d/1OHoSYknhwPJVMPId2a2-698ZZ-5fsCPrA-o0bu2eFWk/edit?usp=sharing,Hạnh,Hân 12/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/ma-pi-leng-pass,,,,Chưa triển khai
111,lung cu flag point,Hà Giang,https://docs.google.com/document/d/1X1MorPMnPb160t5PuTdsphi9eFPBgBpB5Cd8ME8DVAQ/edit?usp=sharing,Hạnh,Hân 12/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/lung-cu-flag-point,,,,Chưa triển khai
112,quan ba heaven gate,Hà Giang,https://docs.google.com/document/d/1NHQA76m46NPSDZaW5288d5THuhql5WJu0Wgs6L9QTlM/edit?usp=sharing,Hạnh,Hân 12/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/quan-ba-heaven-gate,,,,Chưa triển khai
113,meo vac market,Hà Giang,https://docs.google.com/document/d/1E85QvybuOJ8aI_Z0NsBDE0bP7baOSzpDqDZToB0Xbts/edit?usp=sharing,Hạnh,Hân 12/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/meo-vac-market,,,,Chưa triển khai
114,dong van karst plateau geopark,Hà Giang,https://docs.google.com/document/d/18a_bdeIaOSp_jk7LCBufviJKvvu_ZZt5xsYgE-N2Rbs/edit?usp=sharing,Hạnh,Ngọc 25/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/dong-van-karst-plateau-geopark,,,,Chưa triển khai
115,hanoi rooftop bar,Hà Nội,https://docs.google.com/document/d/1BsCQyMeO1XlEHBG-19ajrNCVZOOjvcghSauvUAIrK7A/edit?tab=t.0#heading=h.ohmqc7hlis4a,Phương,C Thy - 14/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hanoi-rooftop-bar,,,,Chưa triển khai
116,incense village hanoi,Hà Nội,https://docs.google.com/document/d/1LL3OA7P81aGOAMf02G3osOkP_aItADuBG1usNuV33Go/edit?usp=sharing,Hạnh,Ngọc 20/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/incense-village-hanoi,,,,Chưa triển khai
117,long bien market,Hà Nội,https://docs.google.com/document/d/1ndgjUlEuFBlVuh9QZVhVilqI8VHodK6ddUuSYHSsf0c/edit?tab=t.0,Phương,C Thy - 14/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/long-bien-market,,,,Chưa triển khai
118,hanoi museum,Hà Nội,https://docs.google.com/document/d/1Jexz1ZSXMlznQqhV7UCas8PLZWrQuK2TikSczSCbZBA/edit?tab=t.0#heading=h.ajn9rpcks365,Hạnh,Ngọc 20/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hanoi-museum,,,,Chưa triển khai
119,hanoi b52 museum,Hà Nội,https://docs.google.com/document/d/1NZe6yhJ6FOyD6WzPMWQig_imDLNEjwBqjv_ZEwaBtTY/edit?tab=t.0#heading=h.nhvau3age081,Phương,C Thy - 14/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hanoi-b52-museum,,,,Chưa triển khai
120,national museum of fine arts hanoi,Hà Nội,https://docs.google.com/document/d/1YeYGIH8ROkrlRjwEvbx1D4PfT4vSP-ulnd5SR2weIrg/edit?tab=t.0,Phương,C Thy - 14/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/national-museum-of-fine-arts-hanoi,,,,Chưa triển khai
121,beach near hanoi,Hà Nội,https://docs.google.com/document/d/1sK4zjzlU0Q-f_fNxue4fKztr70UAD3L4M1y2W9YfEak/edit?tab=t.0,Phương,C Thy - 21/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/beach-near-hanoi,,,,Chưa triển khai
122,perfume pagoda,Hà Nội,https://docs.google.com/document/d/1vx1IxDHGCI2REqQ6IdZ-07mcwkqIm4GQCUU6EUoceaY/edit?tab=t.0,Phương,C Thy - 14/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/perfume-pagoda,,,,Chưa triển khai
123,quan thanh temple,Hà Nội,https://docs.google.com/document/d/1APBpVx8gNpHYs-W5Wd1U4zqVLSLN8ln-0rTBbqA1iMM/edit?tab=t.0,Phương,C Thy - 14/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/quan-thanh-temple,,,,Chưa triển khai
124,shopping in hanoi,Hà Nội,https://docs.google.com/document/d/1tb-1xVIuHnnaHj-t0HtXJcDONKAlUXKVOUXpkY2CIXk/edit?tab=t.0,Phương,C Thy - 21/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/shopping-in-hanoi,,,,Chưa triển khai
125,shopping centre hanoi,Hà Nội,https://docs.google.com/document/d/1aPDa1Dnd8P3tE0n5Xaq6jVBSF9WegEvMjMuIsbTETJg/edit?usp=sharing,Lô,N.Anh 20/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/shopping-centre-hanoi,,,,Chưa triển khai
126,thong nhat park,Hà Nội,https://docs.google.com/document/d/1PWjL9AEGpSamSARK5YGQ-i-xnOVfmHr5qFRssovVR_I/edit?tab=t.0,Phương,C Thy - 24/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/thong-nhat-park,,,,Chưa triển khai
127,voi phuc temple,Hà Nội,https://docs.google.com/document/d/1U5xXxaq_FHRA6pQJX8wf3QBePSzzwQxgFTUPcOMFtdM/edit?usp=sharing,Hạnh,Ngọc 20/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/voi-phuc-temple,,,,Chưa triển khai
128,best time to visit ninh binh,Ninh Bình,https://docs.google.com/document/d/1rLuzQMP7ndrKUj_lLhfhjrLFXtw9N4-xaIzrjBGo-Ds/edit?tab=t.0,Hạnh,Hân 27/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/best-time-to-visit-ninh-binh,,,,Chưa triển khai
129,cuc phuong national park,Ninh Bình,https://docs.google.com/document/d/1KXHcm7cesRcdZxb25FDheLHCSQ_vytA6usKb9p_vOwU/edit?usp=sharing,Lô,N.Anh 4/4,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/cuc-phuong-national-park,,,,Chưa triển khai
130,hanoi zoo,Hà Nội,https://docs.google.com/document/d/1p8HxKD17YzFEO6WujmfNRa5wHJ3o57BxOr3056_vV5w/edit?tab=t.0,Hạnh,Hân 21/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hanoi-zoo,,,,Chưa triển khai
131,ninh binh night market,Ninh Bình,https://docs.google.com/document/d/1kC3nr4Ihksg5ZDCSA0-mVATSH3v7ulQYh_ZduY-R8ik/edit?tab=t.0,Phương,C Thy - 24/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/ninh-binh-night-market,,,,Chưa triển khai
132,ninh binh caves,Ninh Bình,https://docs.google.com/document/d/1e5PcbR3Dei2qTyOImA4e80xQrhPIca3hYZX2kTmPfxc/edit?tab=t.0,Hạnh,Hân 21/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/ninh-binh-caves,,,,Chưa triển khai
133,mua caves ninh binh,Ninh Bình,https://docs.google.com/document/d/1Ys49-BCSN0yy-DLSjrrpUjhdDJ3E6sDnYHkNH0kiPKw/edit?usp=sharing,Lô,Trang 6/4,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/mua-caves-ninh-binh,,,,Chưa triển khai
134,ninh binh pagoda,Ninh Bình,https://docs.google.com/document/d/1wqK4lp-s3QmE8oTpJHzFqVNqlK9jfSsnD2Ez265lUNw/edit?tab=t.0#heading=h.tf9yr95eiyex,Phương,C Thy - 24/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/ninh-binh-pagoda,,,,Chưa triển khai
135,hoa lu temples,Ninh Bình,https://docs.google.com/document/d/19YRYQlmiEvjSweokf5N9TV41LPaF1RGbywRilDPgALc/edit?tab=t.0,Phương,C Thy - 25/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hoa-lu-temples,,,,Chưa triển khai
136,hoa lu ancient capital,Ninh Bình,https://docs.google.com/document/d/1WZmodBe26efzVgL_YoySBKqWS-yXod4KJWSVnHcHsLs/edit?tab=t.0,Hạnh,Hân 21/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hoa-lu-ancient-capital,,,,Chưa triển khai
137,tam coc,Ninh Bình,https://docs.google.com/document/d/14YT_0o2A94km-VRbcGA8Mv6blOkMfE3iSwRVDbdtc5E/edit?tab=t.0,Phương,C Thy - 25/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/tam-coc,,,,Chưa triển khai
138,things to do in ninh binh,Ninh Bình,https://docs.google.com/document/d/16aV-dWv4LnEWurHz92ZZmaIieAMMldUQXt_nLNViUhg/edit?tab=t.0,Phương,C Thy - 25/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/things-to-do-in-ninh-binh,,,,Chưa triển khai
139,thung nham bird valley,Ninh Bình,https://docs.google.com/document/d/1pq88xtMeemazXwnG2aDQ998c5AOEXtoBsdyyHI7UNKg/edit?tab=t.0,Phương,C Thy - 26/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/thung-nham-bird-valley,,,,Chưa triển khai
140,trang an vietnam,Ninh Bình,https://docs.google.com/document/d/1YbRs6My_HhprAJW_IY2bPsnwkmLlUwbhyvzy9nZDwPc/edit?tab=t.0#heading=h.whe2c4s7obci,Lô,Trang 6/4,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/trang-an-vietnam,,,,Chưa triển khai
141,van long wetland nature reserve,Ninh Bình,https://docs.google.com/document/d/1Ynn7hzc7IiaiYabEGkbKtcSdQM2h_ZQUf9VVeCXp6j4/edit?tab=t.0,Lô,N.Anh 4/4,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/van-long-wetland-nature-reserve,,,,Chưa triển khai
142,dragon mountain ninh binh,Ninh Bình,https://docs.google.com/document/d/1RYtNEiBTMHUbr0VN3MIYYqlS4Uh0aLjedMu0AdVBOGY/edit?usp=sharing,Hạnh,Ngọc 25/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/dragon-mountain-ninh-binh,,,,Chưa triển khai
143,ninh binh food,Ninh Bình,https://docs.google.com/document/d/18y_dDzliAAanUA6HI5NzAwInFjY078W_GrSss1OptRc/edit?usp=sharing,Lô,N.Anh 22/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/ninh-binh-food,,,,Chưa triển khai
144,am tien cave,Ninh Bình,https://docs.google.com/document/d/11BcMJwYNB1kdyLjz6YsBK0WFZEMMICErIgW7BJevMZY/edit?usp=sharing,Lô,N.Anh 24/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/am-tien-cave,,,,Chưa triển khai
145,phat diem cathedral,Ninh Bình,https://docs.google.com/document/d/1SBggnRXxlmXGJ9yGIF913JE9pJ3dPi4ftFS5iQcKmFI/edit?tab=t.0,Hạnh,Hân 21/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/phat-diem-cathedral,,,,Chưa triển khai
146,rooftop bars in ho chi minh city,HCM,https://docs.google.com/document/d/1MbUQyKY8JqjVuU6oTdl-BmtuVf00jIPAmWzlHRXrBUw/edit?tab=t.0#heading=h.skok0hgou5cd,Lô,P.Anh 22/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/rooftop-bars-in-ho-chi-minh-city,,,,Chưa triển khai
147,an dong market,HCM,https://docs.google.com/document/d/1yBhDHAop-K_YQ3SFpm3XzwJNFtnw46eIEHfhNS0a9hw/edit?tab=t.0,Hạnh,Ngọc 24/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/an-dong-market,,,,Chưa triển khai
148,ba chieu market,HCM,https://docs.google.com/document/d/10_76eLRDBjmbri14fFR_bQ8ceTBa8qMsOcA3YVOXEDk/edit?tab=t.0,Phương,C Thy - 26/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/ba-chieu-market,,,,Chưa triển khai
149,binh tay market,HCM,https://docs.google.com/document/d/1psjuZsO4VdlPtwDtpiT9P0E1Nm5z1UecTEH0mXX09L8/edit?tab=t.0,Phương,C Thy - 9/4,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/binh-tay-market,,,,Chưa triển khai
150,hanh thong tay market,HCM,https://docs.google.com/document/d/1vDeSPIAan972tUeYlaivoQp5ePDeI9gNjMkdR1diAik/edit?tab=t.0,Phương,C Thy - 9/4,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/hanh-thong-tay-market,,,,Chưa triển khai
151,ho thi ky flower market,HCM,https://docs.google.com/document/d/1Fcf-5dqh29ZlGMMf5vBvyhD9OO0axEk_qFpXc54yX_Y/edit?tab=t.0,Hạnh,Hân 27/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/ho-thi-ky-flower-market,,,,Chưa triển khai
152,tan binh market,HCM,https://docs.google.com/document/d/1UVUl1VUf0nq13e1i5v5F0XM4Vv7g1EP2hBEbRkAF6GQ/edit?tab=t.0,Phương,C Thy - 9/4,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/tan-binh-market,,,,Chưa triển khai
153,buu long pagoda,HCM,https://docs.google.com/document/d/1cw_U3Itx6ZMeU11T0aHqn6SerMkAfgpUhqdRkSVXbDQ/edit?tab=t.0,Hạnh,AV,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/buu-long-pagoda,,,,Chưa triển khai
154,mariamman hindu temple,HCM,https://docs.google.com/document/d/1r30HiJK7UBxru3pY85qTPzu1xLEibI9ZZ5FJ_t-9Eao/edit?tab=t.0,Hạnh,Ngọc 24/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/mariamman-hindu-temple,,,,Chưa triển khai
155,jade emperor pagoda,HCM,https://docs.google.com/document/d/1kmH7MJbsPZyy4D2d5AxUaqJe1-t1oGZ66zbseEe6VPM/edit?usp=sharing,Hạnh,Ngọc 24/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/jade-emperor-pagoda,,,,Chưa triển khai
156,thien hau temple,HCM,https://docs.google.com/document/d/1CkjFv2-JC1pithAtp5CqJgUkIKSDZyez5SwnNnzKTBg/edit?tab=t.0,Hạnh,Ngọc 25/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/thien-hau-temple,,,,Chưa triển khai
157,beaches in saigon,Hồ Chí Minh,https://docs.google.com/document/d/1OIX41A2LefSWl6PTIlzbyrUrnVjAR8WOAUSGXf5tFuQ/edit?usp=sharing,Hiền (Phưng),Viết beach near saigon,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/beaches-in-sai-gon,,,,Chưa triển khai
158,fito museum ho chi minh,HCM,https://docs.google.com/document/d/1_KG7--GuVPlbj7EX08uGuyckdHXLhq4Qc1U0Gebe0ww/edit?usp=sharing,Lô,P.Anh 22/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/fito-museum-ho-chi-minh,,,,Chưa triển khai
159,zoo and botanical gardens ho chi minh,HCM,https://docs.google.com/document/d/19R8-sGgvHdAV6imWuVPF56gh9021OI7JpBCg9easO08/edit?tab=t.0,Phương,C Thy - 9/4,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/zoo-and-botnical-gardens-hcm,,,,Chưa triển khai
160,ho chi minh city book street,HCM,https://docs.google.com/document/d/1fPIEP6ticS5o0vCGPAEcFgLpN2W5M5gxI44Jaugl_bw/edit?tab=t.0,Lô,P.Anh ,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/ho-chi-minh-city-book-street,,,,Chưa triển khai
161,ban gioc waterfall,Cao Bằng,https://docs.google.com/document/d/1_jDfeRvyi-pGMvxSNdtrnxyA7PKJ7SdJ8zxh0gUheiw/edit?usp=sharing,Hạnh,Hân 28/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/ban-gioc-waterfall,,,,Chưa triển khai
162,nguom ngao cave,Cao Bằng,https://docs.google.com/document/d/1XDL-SSZMepseC09-CNzatbneBtSGeQUpSUvVKRR9SoA/edit?usp=sharing,Hạnh,Hân 28/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/nguom-ngao-cave,,,,Chưa triển khai
163,nui thung mountain,Cao Bằng,https://docs.google.com/document/d/1h_mLu-FHBucngRrTwViInRgswF6HvErv9kUMkQ4pSqY/edit?usp=sharing,Hạnh,Hân 27/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/nui-thung-mountain,,,,Chưa triển khai
164,pac bo cave,Cao Bằng,https://docs.google.com/document/d/1t9ysC96lGCqmfSgGY1Wl_6AYE22N6Xvqyu4b66Go4UQ/edit?usp=sharing,Hạnh,Hân 27/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/pac-bo-cave,,,,Chưa triển khai
165,da nang museum of cham sculpture,Đà Nẵng,https://docs.google.com/document/d/1MZ0fsBxT3yP-xl0TWJIh-Nx-ff7A3Ju4JTa4-0GCQ9g/edit?usp=sharing,Lô,P.Anh ,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/da-nang-museum-of-cham-sculpture,,,,Chưa triển khai
166,non nuoc beach,Đà Nẵng,https://docs.google.com/document/d/1sxZwAfF6DFgWALgfOYuyPH7xvoYeQO5hNEa-eA56EvE/edit?tab=t.0#heading=h.9aq65gn1if2g,Phương,C Thy - 9/4,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/non-nuoc-beach,,,,Chưa triển khai
167,my khe beach,Đà Nẵng,https://docs.google.com/document/d/1M3fV6PpUMkopCjXt2Blefb2y2B6n3FbAKbgwV9EM-Os/edit?usp=sharing,Lô,P.Anh ,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/my-khe-beach,,,,Chưa triển khai
168,da nang han market,Đà Nẵng,https://docs.google.com/document/d/1fqMmcW1AICI5ABCrvz5OLBM424EJQHlQn6C_inByKvk/edit?tab=t.0,Lô,P.Anh,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/da-nang-han-market,,,,Chưa triển khai
169,da nang cathedral,Đà Nẵng,https://docs.google.com/document/d/1fGtZZ_AN_UHFbMCtzoz1A0vakuL4xAXwEwDmWx2WO7M/edit?tab=t.0,Phương,C Thy - 9/4,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/danang-cathedral,,,,Chưa triển khai
170,precious heritage art gallery museum,Hội An,https://docs.google.com/document/d/1f2VIOk3V5Owhpl3znIWF5RPTdiRcdJMotHZ8Sg0ePW8/edit?usp=sharing,Lô,P.Anh,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/precious-heritage-art-gallery-museum,,,,Chưa triển khai
171,tra que vegetable village,Hội An,https://docs.google.com/document/d/1963yVTukjpIcl99Pgh8nJgDwX5q_iFHoTMJvvp5FXHU/edit?usp=sharing,Hạnh,Hân 28/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/tra-que-vegetable-village,,,,Chưa triển khai
172,best time to visit hoi an,Hội An,https://docs.google.com/document/d/1l2eD2O1IWH36ay3Q7mJpbWQqdfLwlEtNxUnCDeH1NyI/edit?usp=sharing,Hạnh,Hạnh,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/best-time-to-visit-hoi-an,,,,Chưa triển khai
173,museum of oceanography,Khánh Hòa,https://docs.google.com/document/d/1STtm9A6_MhUw25xfcXy2Bt1-R87cb041tWfo5QOw9Zs/edit?usp=sharing,Phương,Phương,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/museum-of-oceanography,,,,Chưa triển khai
174,ponagar temple,Khánh Hoà,https://docs.google.com/document/d/1kRj7oMHY7GNXFj2N71YoaLpl0n0E_cVaD586bBZ06u0/edit?tab=t.0,Hạnh,Hân 6/4,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/ponagar-temple,,,,Chưa triển khai
175,nha trang cathedral,Khánh Hoà,https://docs.google.com/document/d/1bO5dHyrkf0kI_OvnR62jcj-cN2_3EZDLoqc-trhmkR8/edit?usp=sharing,Hạnh,Hân 26/4,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/nha-trang-cathedral,,,,Chưa triển khai
176,long son pagoda,Khánh Hoà,https://docs.google.com/document/d/1P-6n4WA6l0Gq5z5Gl2GDTmnEhKwzA1hqqlrdOJt4BYQ/edit?tab=t.0,Hạnh,Hân 6/4,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/long-son-pagoda,,,,Chưa triển khai
177,hon tre island,Khánh Hoà,https://docs.google.com/document/d/1DwodKdKTOtXFKVHhJesga-mtPKkcpHRquFNEJPzLn1k/edit?usp=sharing,Hạnh,Hân 2/5,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hon-tre-island,,,,Chưa triển khai
178,beach nha trang,Khánh Hoà,https://docs.google.com/document/d/1LPbTGznDyEzAwP5V94S52vYloknOjg8LWa9XZPmGM7I/edit?tab=t.0,Phương,C Thy - 14/4,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/beach-nha-trang,,,,Chưa triển khai
179,doc let beach vietnam,Khánh Hoà,https://docs.google.com/document/d/1YwWmXEoTNG5ulml1UUJSa7jb2K8Zm7fphqKRDNDfNWs/edit?tab=t.0,Phương,C Thy - 16/4,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/doc-let-beach-vietnam,,,,Chưa triển khai
180,mud bath in nha trang,Khánh Hòa,https://docs.google.com/document/d/1f3ryLwD3jJSRaILXtWVywHC2iNtE8Ez7avbD08ZTkBg/edit?usp=sharing,Hiền (Phưng),C Hiền,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/mud-bath-in-nha-trang,,,,Chưa triển khai
181,nha trang nightlife,Khánh Hoà,https://docs.google.com/document/d/1xDiXFlIfPTTsOaBQrnHRVD8g43ZDuosZoBjw6Ma3cz0/edit?tab=t.0,Phương,C Thy - 10/4,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/nha-trang-nightlife,,,,Chưa triển khai
182,lang co beach,Huế,https://docs.google.com/document/d/1PI9zPLaE1tg800ZGtaZOj_7yQQgEzsPjy-jj9JXFVpE/edit?usp=sharing,Hạnh,Hân 18/5,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/lang-co-beach,,,,Chưa triển khai
